,Unnamed: 0,Date,adoration
86,86,2023-09-10,"Gracious Father in Heaven, You are our light and salvation. You are our fortress so that we may rightly be brave in this life, rather than fearful. Even when our enemies assail us, You bring them to destruction. Give us that true courage from Your Spirit, shelter us in our day of trouble and shield us in Your Son Who tabernacled among us and for us. Make us to dwell in Him all the days of our lives to gaze upon Your beauty and meditate upon Your Word. :"
87,87,2023-09-17,"Our mouths will tell of Your righteous acts, O God, and of Your salvation all the day, for their number is past our knowledge.  With the mighty deeds of the Lord we will come; we will praise Your righteousness Yours alone.  Your power and Your righteousness reach the high heavens; You have done great things, O God, who is like You?  You have made us see sore troubles revive us again.  Let us hope in You continually; let us praise You more and more.  Now, we ask that You would hear us as we sing the prayer our Lord has given us."
88,88,2023-09-24,"We praise You, O God, we acknowledge You to be the LORD all the earth worships YOU, the Father everlasting To YOU all the angels cry aloud, the Heavens and all the Powers therein   to You the Cherubim and Seraphim continually cry out the holiness of the Lord of Hosts  Heaven and Earth are full of the Majesty of YOUR glory  The glorious company of the Apostle praise You The goodly fellowship of the Prophets praise You The noble army of martyrs praise You And the Holy Church throughout all the world acknowledges You the Father, infinite in majesty; the honorable, true, and only Son, and the Holy Spirit, our Comforter. Here us now as we add our voices to these singing together the prayer our Lord Jesus has given"
89,89,2023-10-01,"Gracious Heavenly Father, You've made us, and so we owe you the whole of our love; You've redeemed us, and so we owe you the whole of ourselves; You've promised so much, and so we owe you our whole future beings.  And these things we owe You in as much a greater proportion as You are greater than we, for whom You've given Yourself along with these promises. This is a debt whose magnitude we are unable to attain.  But all that we do have, and all that we are in our whole being which we confess truly are already Yours by right of creation anyway we offer up to You anew.  Draw us to You, Lord, and give us understanding and with that knowledge and with that the gift of the fullness of Your love.   And :"
90,90,2023-10-08,"Great God and Heavenly Father, we have come into Your holy presence, at Your call in order to bring our praises and offerings, and to present ourselves to You, the One in Whom is all strength and beauty.  All the gods of the peoples are worthless idols and vain pursuits.  You alone are to be feared.  You alone are worthy to receive the worship of the nations of the earth.  Before You they will bow and every tongue confess Your glory in Christ Jesus.  Hear Your people's cry and hasten the coming of that day as we sing the prayer Your Son has graciously given us"
91,91,2023-10-15,"Lord, You have been our dwelling place in all generations.  Before the mountains were brought forth, or ever You had formed the earth and the world, even from everlasting to everlasting, You are God.  You turn man back to the dust, and say,  Turn back, O Children of men!  For a thousand years in Your sight are but as yesterday when it is past, or as a watch in the night .So teach us to number our days, that we may gain a heart of wisdom And let the favor of the Lord our God be upon us, and establish the work of our hands for us;  yes, we look to You to establish the work of our hands.  Hear us now as we sing together the prayer Your Son, our Lord has given us."
92,92,2023-10-22,"We praise You, O God, and we acknowledge You to be the Lord. All creation worships You the Father everlasting.  To You the angels cry aloud, the heavens and all the powers therein.  To You cherubim and seraphim continually cry, Holy, Holy, Holy, Lord God of the Angelic Armies.  Heaven and earth are full of the majesty of Your Glory. We worship You Father, of an infinite majesty, together with Your true and only Son Whom we adore; together also with the Holy Ghost, Who is our Comforter."
93,93,2023-10-29,
94,94,2023-11-05,"Lord God, You have sent us Your Spirit and so confirmed our adoption as Your own children to join the family of God. You have loved us as a perfect Father.  You have brought us to Your table and welcome us into Your home. You have surrounded us with so great a cloud of witnesses.  And in every age You have called men and women to give up their lives for You as martyrs of Christ. Grant that we, encouraged by the examples of Your servants and mindful of Your faithfulness in and through them, may persevere in the course that is set before us. Fix our eyes upon our Lord Jesus, Who for the joy set before Him endured the agony of the cross."
95,95,2023-11-12,
96,96,2023-11-19,"Praise waits for You among Your people, Heavenly Father, and we are glad to bring it along with our offerings and ourselves.  We rejoice to gather before You together with all Your people throughout all the world.  Truly to You all flesh shall come.  How blessed is anyone You choose and cause to approach Yourself.  We praise You for calling us to dwell in Your courts that we might be satisfied with the goodness of Your Son, Jesus our Lord, Who is the confidence of all the ends of the earth."
